iter	RMSE
0	175.2129984
1	168.5165173
2	162.4069372
3	156.8518596
4	152.2266824
5	147.0070061
6	142.982887
7	138.7485611
8	134.8602937
9	131.4483459
10	128.1733595
11	125.2789686
12	122.936628
13	120.5951435
14	118.6504314
15	115.868288
16	113.6680964
17	110.0252707
18	106.7166891
19	105.1420757
20	103.4847428
21	101.9155311
22	100.4724558
23	99.4615282
24	98.15578829
25	96.74803949
26	94.48310483
27	92.38252
28	90.11011055
29	88.01832652
30	87.08737692
31	86.15687724
32	85.32420337
33	83.4841974
34	82.90485981
35	81.81820094
36	80.30272769
37	78.89450544
38	77.43821076
39	76.92310869
40	76.48295778
41	75.78004332
42	75.2192537
43	74.32506223
44	73.93577612
45	73.49203108
46	72.85924519
47	71.87707239
48	71.30814308
49	70.99778638
50	70.60347031
51	70.33145635
52	69.48756941
53	68.63994674
54	68.07357476
55	67.69094865
56	66.69300277
57	66.33557425
58	66.08471185
59	65.88398565
60	65.5431248
61	65.20391684
62	64.5075863
63	64.20460766
64	64.04604424
65	63.81290236
66	63.61864005
67	63.41407628
68	63.14818594
69	62.91508722
70	62.71556888
71	62.61275598
72	62.44974117
73	61.85977063
74	61.6641323
75	61.16672459
76	61.0637042
77	60.50884646
78	60.33133216
79	60.12825117
80	60.02323645
81	59.48872958
82	59.28079936
83	59.06738508
84	58.88068573
85	58.72476495
86	58.59040819
87	58.25426119
88	58.07879387
89	57.69146655
90	57.49710576
91	57.19487411
92	56.74322632
93	56.65264302
94	56.21778437
95	56.03342353
96	55.8837163
97	55.71892304
98	55.59510492
99	55.31526065
100	55.01018126
101	54.90347894
102	54.79520849
103	54.49033722
104	54.39242943
105	54.18796158
106	53.98522813
107	53.69008309
108	53.59844133
109	53.48178848
110	53.35354913
111	53.11960768
112	53.024507
113	52.93101045
114	52.84342483
115	52.62749898
116	52.56922846
117	52.44760868
118	52.26987742
119	52.090203
120	51.99751216
121	51.79921974
122	51.66590075
123	51.49219862
124	51.36795154
125	51.23047723
126	51.09209681
127	51.00507585
128	50.93081846
129	50.83986962
130	50.75840999
131	50.59825155
132	50.52593022
133	50.45483106
134	50.29705457
135	50.17560236
136	50.09016491
137	49.93981237
138	49.90831124
139	49.86710142
140	49.80770579
141	49.72928254
142	49.64181332
143	49.51769553
144	49.4274923
145	49.32964744
146	49.2418378
147	49.16511062
148	49.09588216
149	49.04705911
150	48.95837777
151	48.90113231
152	48.85948476
153	48.73494361
154	48.60134707
155	48.53786764
156	48.44647336
157	48.38551034
158	48.33949728
159	48.28135984
160	48.17249167
161	48.1232643
162	48.06725752
163	47.98694924
164	47.88707864
165	47.83287419
166	47.76927236
167	47.69467425
168	47.64157863
169	47.58548067
170	47.5103247
171	47.43754306
172	47.36389221
173	47.31593466
174	47.23463781
175	47.1771878
176	47.06861638
177	46.99836737
178	46.88892555
179	46.83096188
180	46.78348936
181	46.74237783
182	46.68723047
183	46.66596975
184	46.6324049
185	46.54303315
186	46.51310821
187	46.47874592
188	46.39160107
189	46.34411035
190	46.25956725
191	46.1955078
192	46.13824134
193	46.08999663
194	46.02867934
195	45.98353223
196	45.93524458
197	45.84191014
198	45.78516789
199	45.74043792
200	45.70797955
201	45.67863926
202	45.63272529
203	45.60125396
204	45.54635903
205	45.47995144
206	45.439343
207	45.35888338
208	45.32528102
209	45.28168833
210	45.23741007
211	45.20379655
212	45.16268902
213	45.10385994
214	45.07235928
215	45.03129034
216	44.96878959
217	44.91187745
218	44.88390913
219	44.84537153
220	44.83606256
221	44.78735908
222	44.73866984
223	44.72324926
224	44.68691818
225	44.65195853
226	44.62067447
227	44.60865962
228	44.57190554
229	44.54733439
230	44.51623512
231	44.46724621
232	44.43362184
233	44.38358858
234	44.37623022
235	44.28684391
236	44.23746479
237	44.22891852
238	44.18638481
239	44.12236871
240	44.0941261
241	44.07029252
242	44.06446525
243	43.99640569
244	43.98727413
245	43.96396382
246	43.91524897
247	43.89141497
248	43.85913455
249	43.79040653
250	43.73495068
251	43.706715
252	43.69399727
253	43.6882524
254	43.6798695
255	43.65202847
256	43.60646699
257	43.6000989
258	43.53955993
259	43.51147814
260	43.48927842
261	43.45434282
262	43.42741433
263	43.39852155
264	43.3694329
265	43.32304659
266	43.28147225
267	43.25723927
268	43.23228415
269	43.20467555
270	43.15806519
271	43.13551644
272	43.10290327
273	43.05310169
274	43.00325548
275	42.94469213
276	42.90507119
277	42.86355407
278	42.83940447
279	42.8103648
280	42.80078217
281	42.76425215
282	42.72232565
283	42.69782394
284	42.67265518
285	42.6263552
286	42.60753255
287	42.57804093
288	42.55061932
289	42.4999751
290	42.47100744
291	42.41499774
292	42.37864761
293	42.35513307
294	42.32423735
295	42.29337578
296	42.25879616
297	42.23285773
298	42.21089121
299	42.1721575
300	42.15735947
301	42.13021031
302	42.09002084
303	42.05905486
304	42.0339628
305	42.00487405
306	41.96282402
307	41.92424353
308	41.87844735
309	41.85855343
310	41.82425198
311	41.78834977
312	41.76967398
313	41.74585712
314	41.71565748
315	41.69471156
316	41.67636593
317	41.65380098
318	41.61755743
319	41.57960866
320	41.54888318
321	41.51798993
322	41.49623717
323	41.47250435
324	41.45251692
325	41.43027138
326	41.39698418
327	41.38050609
328	41.36198656
329	41.33019074
330	41.30566787
331	41.28066982
332	41.25413294
333	41.22861346
334	41.21054895
335	41.19199066
336	41.16970857
337	41.1509487
338	41.13780723
339	41.11707673
340	41.09068167
341	41.07114491
342	41.04117812
343	41.02019155
344	40.98964621
345	40.97018204
346	40.94203198
347	40.91840504
348	40.90288182
349	40.88690323
350	40.87109274
351	40.85891173
352	40.83688208
353	40.79760055
354	40.77068048
355	40.75207209
356	40.7394861
357	40.7137357
358	40.69518863
359	40.68057633
360	40.65794341
361	40.6441186
362	40.60450863
363	40.5871742
364	40.56093885
365	40.51341683
366	40.48835709
367	40.47644897
368	40.45597562
369	40.43031557
370	40.40858625
371	40.36331652
372	40.33636522
373	40.32248806
374	40.30268843
375	40.29016249
376	40.24517944
377	40.2133019
378	40.19591933
379	40.18286781
380	40.1697227
381	40.14328472
382	40.12084666
383	40.11298548
384	40.08417538
385	40.06310959
386	40.0551206
387	40.03138557
388	40.00638903
389	39.98622527
390	39.96938721
391	39.95298175
392	39.93536497
393	39.91972143
394	39.91942
395	39.90758962
396	39.88177306
397	39.8425173
398	39.82875752
399	39.78885559
400	39.77244546
401	39.74040075
402	39.72126824
403	39.70257936
404	39.68956968
405	39.65665226
406	39.63665749
407	39.61669338
408	39.60388542
409	39.5911149
410	39.58227397
411	39.54720307
412	39.52538027
413	39.49712697
414	39.46616607
415	39.44801974
416	39.42274999
417	39.38922299
418	39.3735558
419	39.35878633
420	39.34200439
421	39.33176413
422	39.31262229
423	39.30285646
424	39.27395224
425	39.25381226
426	39.23334522
427	39.21862631
428	39.1971499
429	39.17169278
430	39.14795304
431	39.13431987
432	39.12468997
433	39.09772629
434	39.08684135
435	39.07830976
436	39.06496624
437	39.0407091
438	39.02274423
439	39.00618888
440	38.9899902
441	38.98173463
442	38.95233622
443	38.92986956
444	38.9097661
445	38.89106846
446	38.86973576
447	38.85599685
448	38.83836027
449	38.82199937
450	38.81121497
451	38.80116987
452	38.77724406
453	38.75930153
454	38.72639812
455	38.70740703
456	38.69286689
457	38.6711053
458	38.66124692
459	38.64816922
460	38.63712009
461	38.60906127
462	38.57645472
463	38.54949653
464	38.54926478
465	38.53484185
466	38.53461079
467	38.51622294
468	38.50086031
469	38.48732475
470	38.47337852
471	38.45664899
472	38.44927407
473	38.42336845
474	38.41119579
475	38.3974457
476	38.38496309
477	38.36669212
478	38.3569805
479	38.3424903
480	38.3218154
481	38.28987933
482	38.27068217
483	38.25197481
484	38.23321613
485	38.21835178
486	38.20600561
487	38.20578166
488	38.19147057
489	38.18162645
490	38.16606721
491	38.14977437
492	38.1291883
493	38.11399065
494	38.09504697
495	38.0872271
496	38.07253431
497	38.03865072
498	38.02181964
499	38.00632549
500	38.00611025
501	37.99233264
502	37.9749487
503	37.96247929
504	37.95284418
505	37.9403785
506	37.92800815
507	37.90877707
508	37.88619979
509	37.85890728
510	37.84201247
511	37.81696889
512	37.79967663
513	37.77512575
514	37.76017758
515	37.75065576
516	37.72974234
517	37.72356753
518	37.70960741
519	37.69324326
520	37.67761637
521	37.67051365
522	37.66257927
523	37.64694027
524	37.63221974
525	37.62426051
526	37.61979964
527	37.60803975
528	37.60237649
529	37.59200109
530	37.5918086
531	37.58115872
532	37.56598781
533	37.55054504
534	37.53581972
535	37.52634846
536	37.51044011
537	37.50131886
538	37.4802937
539	37.4679811
540	37.46016918
541	37.45040838
542	37.43870647
543	37.43852477
544	37.42848927
545	37.42138074
546	37.40493477
547	37.38623832
548	37.36291097
549	37.33310087
550	37.32553066
551	37.31264026
552	37.30278269
553	37.2898331
554	37.27684997
